类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
Array,,,,,,,Array,,,,,,1,,10,
Array,,1,CASEINSENSITIVE,,,uint,,1,flash.AS3Array.CASEINSENSITIVE,,,,1,,10,
Array,,1,DESCENDING,,,uint,,1,flash.AS3Array.DESCENDING,,,,1,,10,
Array,,1,NUMERIC,,,uint,,1,flash.AS3Array.NUMERIC,,,,1,,10,
Array,,1,RETURNINDEXEDARRAY,,,uint,,1,flash.AS3Array.RETURNINDEXEDARRAY,,,,1,,10,
Array,,1,UNIQUESORT,,,uint,,1,flash.AS3Array.UNIQUESORT,,,,1,,10,
Array,,,,,concat,Array,Array,,,,,,1,,10,
Array,,,,,every,Boolean,Array,,,,,,1,,10,
Array,,,,,filter,Array,Array,,,,,,1,,10,
Array,,,,,forEach,void,Array,,,,,,1,,10,
Array,,,,,indexOf,int,Array,,,,,,1,,10,
Array,,,,,join,String,Array,,,,,,1,,10,
Array,,,,,lastIndexOf,int,Array,,,,,,1,,10,
Array,,,length,,,int,Array,,,,,,1,,10,
Array,,,,,map,Array,Array,,,,,,1,,10,
Array,,,,,pop,Object,Array,,,,,,1,,10,
Array,,,,,push,uint,Array,,,,,,1,,10,
Array,,,,,reverse,Array,Array,,,,,,1,,10,
Array,,,,,shift,Object,Array,,,,,,1,,10,
Array,,,,,slice,Array,Array,,,,,,1,,10,
Array,,,,,some,Boolean,Array,,,,,,1,,10,
Array,,,,,sort,Array,Array,,,,,,1,,10,
Array,,,,,sortOn,Array,Array,1,,,flash.sortOn,b0 a1 a2,1,,10,
Array,,,,,splice,Array,Array,,,,,,1,,10,
Array,,,,,toLocaleString,String,Array,,,,,,1,,10,
Array,,,,,toString,String,Array,,,,,,1,,10,
Array,,,,,unshift,uint,Array,,,,,,1,,10,
Array,,,,,deflate,void,Array,,,,,,0,,10,
Array,,,,,inflate,void,Array,,,,,,0,,10,
