类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
Date,,,,,,,flash.As3Date,,,,,,1,,,
Date,,,date,,,Number,flash.As3Date,,,,,,1,,,
Date,,,dateUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,day,1,,Number,flash.As3Date,,,,,,1,,,
Date,,,dayUTC,1,,Number,flash.As3Date,,,,,,1,,,
Date,,,fullYear,,,Number,flash.As3Date,,,,,,1,,,
Date,,,fullYearUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,hours,,,Number,flash.As3Date,,,,,,1,,,
Date,,,hoursUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,milliseconds,,,Number,flash.As3Date,,,,,,1,,,
Date,,,millisecondsUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,minutes,,,Number,flash.As3Date,,,,,,1,,,
Date,,,minutesUTC ,,,Number,flash.As3Date,,,,,,1,,,
Date,,,month,,,Number,flash.As3Date,,,,,,1,,,
Date,,,monthUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,seconds,,,Number,flash.As3Date,,,,,,1,,,
Date,,,secondsUTC,,,Number,flash.As3Date,,,,,,1,,,
Date,,,time,,,Number,flash.As3Date,,,,,,1,,,
Date,,,timezoneOffset,1,,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getDate,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getDay,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getFullYear,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getHours,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getMilliseconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getMinutes,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getMonth,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getSeconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getTime,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getTimezoneOffset,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCDate,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCDay,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCFullYear,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCHours,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCMilliseconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCMinutes,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCMonth,Number,flash.As3Date,,,,,,1,,,
Date,,,,,getUTCSeconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,parse,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setDate,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setFullYear,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setHours,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setMilliseconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setMinutes,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setMonth,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setSeconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setTime,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCDate,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCFullYear,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCHours,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCMilliseconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCMinutes,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCMonth,Number,flash.As3Date,,,,,,1,,,
Date,,,,,setUTCSeconds,Number,flash.As3Date,,,,,,1,,,
Date,,,,,toDateString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toLocaleDateString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toLocaleString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toLocaleTimeString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toTimeString,String,flash.As3Date,,,,,,1,,,
Date,,,,,toUTCString,String,flash.As3Date,,,,,,1,,,
Date,,,,1,UTC,Number,flash.As3Date,1,,,flash.As3Date.UTC,,1,,,
Date,,,,,valueOf,Number,flash.As3Date,,,,,,1,,,
