类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
Math,,1,,,,,Math,,,,,,1,,10,
Math,,1,,,abs,Number,Math,,,,,,1,,10,
Math,,1,,,acos,Number,Math,,,,,,1,,10,
Math,,1,,,asin,Number,Math,,,,,,1,,10,
Math,,1,,,atan,Number,Math,,,,,,1,,10,
Math,,1,,,atan2,Number,Math,,,,,,1,,10,
Math,,1,,,ceil,Number,Math,,,,,,1,,10,
Math,,1,,,cos,Number,Math,,,,,,1,,10,
Math,,1,,,exp,Number,Math,,,,,,1,,10,
Math,,1,,,floor,Number,Math,,,,,,1,,10,
Math,,1,,,log,Number,Math,,,,,,1,,10,
Math,,1,,,max,Number,Math,,,,,,1,,10,
Math,,1,,,min,Number,Math,,,,,,1,,10,
Math,,1,,,pow,Number,Math,,,,,,1,,10,
Math,,1,,,random,Number,Math,,,,,,1,,10,
Math,,1,,,round,Number,Math,,,,,,1,,10,
Math,,1,,,sin,Number,Math,,,,,,1,,10,
Math,,1,,,sqrt,Number,Math,,,,,,1,,10,
Math,,1,,,tan,Number,Math,,,,,,1,,10,
Math,,1,E,,,Number,Math,,,,,,1,,10,
Math,,1,LN10,,,Number,Math,,,,,,1,,10,
Math,,1,LN2,,,Number,Math,,,,,,1,,10,
Math,,1,LOG10E,,,Number,Math,,,,,,1,,10,
Math,,1,LOG2E,,,Number,Math,,,,,,1,,10,
Math,,1,PI,,,Number,Math,,,,,,1,,10,
Math,,1,SQRT1_2,,,Number,Math,,,,,,1,,10,
Math,,1,SQRT2,,,Number,Math,,,,,,1,,10,
