类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
String,,,,,,,string,,,,,,1,,10,
String,,,length,,,Number,string,,,,,,1,,10,
String,,,,,charAt,String,string,,,,,,1,,10,
String,,,,,charCodeAt,Number,string,,,,,,1,,10,
String,,,,,concat,String,string,,,,,,1,,10,
String,,1,,,fromCharCode,String,,1,,,String.fromCharCode,,1,,10,
String,,,,,indexOf,int,string,,,,,,1,,10,
String,,,,,lastIndexOf,int,string,,,,,,1,,10,
String,,,,,localeCompare,int,string,,,,,,0,,10,
String,,,,,match,Array,string,,,,,,1,,10,
String,,,,,replace,String,string,,,,,,1,,10,
String,,,,,search,int,string,,,,,,1,,10,
String,,,,,slice,String,string,,,,,,1,,10,
String,,,,,split,Array,string,,,,,,1,,10,
String,,,,,substr,String,string,,,,,,1,,10,
String,,,,,substring,String,string,,,,,,1,,10,
String,,,,,toLocaleLowerCase,String,string,,,,,,1,,10,
String,,,,,toLocalUpperCase,String,string,,,,,,1,,10,
String,,,,,toLowerCase,String,string,,,,,,1,,10,
String,,,,,toUpperCase,String,string,,,,,,1,,10,
String,,,,,valueOf,String,string,,,,,,1,,10,
