类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
XMLList,,1,,,,,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,attribute,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,attributes,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,child,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,children,XMLList,flash.XMLList,,,,,,1,,10,0
XMLList,,,,,comments,XMLList,flash.XMLList,,,,,,0,,10,1
XMLList,,,,,contains,Boolean,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,copy,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,descendants,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,elements,XMLList,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,hasComplexContent,Boolean,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,hasOwnProperty,Boolean,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,hasSimpleContent,Boolean,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,length,int,flash.XMLList,,,,,,1,,10,
XMLList,,,,,normalize,XMLList,flash.XMLList,,,,,,0,,10,1
XMLList,,,,,parent,Object,flash.XMLList,,,,,,1,,10,
XMLList,,,,,processingInstructions,XMLList,flash.XMLList,,,,,,0,,10,
XMLList,,,,,propertyIsEnumerable,Boolean,flash.XMLList,,,,,,0,,10,
XMLList,,,,,text,XMLList,flash.XMLList,,,,,,0,,10,1
XMLList,,,,,toString,String,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,toXMLString,String,flash.XMLList,,,,,,1,,10,1
XMLList,,,,,valueOf,XMLList,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotAt,XMLList,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotStar,*,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotExpr,*,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotAtExpr,*,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotDouble,*,flash.XMLList,,,,,,1,,10,
XMLList,,,,,dotDoubleStar,*,flash.XMLList,,,,,,1,,10,
,,,,,dotAlt,*,flash.XMLList,,,,,,1,,10,
