类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.desktop.NativeApplication,flash.events.EventDispatcher,,,,,,flash.NativeApplication,,,,,,1,,,
flash.desktop.NativeApplication,,,nativeApplication,,,flash.desktop.NativeApplication,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,supportsSystemTrayIcon,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,supportsStartAtLogin,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,supportsDockIcon,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,supportsDefaultApplication,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,supportsMenu,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,icon,,,flash.desktop.InteractiveIcon,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,executeInBackground,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,idleThreshold,,,int,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,menu,,,flash.display.NativeMenu,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,timeSinceLastUserInput,,,int,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,runtimeVersion,,,String,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,activeWindow,,,flash.display.NativeWindow,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,openedWindows,,,Array,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,applicationID,,,String,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,publisherID,,,String,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,runtimePatchLevel,,,uint,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,autoExit,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,applicationDescriptor,,,XML,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,systemIdleMode,,,String,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,startAtLogin,,,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,setAsDefaultApplication,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,removeAsDefaultApplication,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,addEventListener,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,removeEventListener,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,dispatchEvent,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,isSetAsDefaultApplication,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,cut,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,copy,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,paste,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,clear,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,selectAll,Boolean,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,exit,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,activate,void,flash.NativeApplication,,,,,,0,,,
flash.desktop.NativeApplication,,,,,getDefaultApplication,String,flash.NativeApplication,,,,,,0,,,
