类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.BitmapData,Object,,,,,,flash.BitmapData,,,,,,1,,,
flash.display.BitmapData,,,transparent,1,,Boolean,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,width,1,,int,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,rect,1,,flash.geom.Rectangle,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,height,1,,int,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,,,encode,flash.utils.ByteArray,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,threshold,uint,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,dispose,void,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,,,floodFill,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,generateFilterRect,flash.geom.Rectangle,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,getColorBoundsRect,flash.geom.Rectangle,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,draw,void,flash.BitmapData,,,,draw2,,1,,10,
flash.display.BitmapData,,,,,getPixels,flash.utils.ByteArray,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,copyPixelsToByteArray,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,getVector,Vector,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,hitTest,Boolean,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,clone,flash.display.BitmapData,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,merge,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,noise,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,getPixel,uint,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,paletteMap,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,getPixel32,uint,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,pixelDissolve,int,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,compare,Object,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,setPixel32,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,perlinNoise,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,lock,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,setPixels,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,copyChannel,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,setVector,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,copyPixels,void,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,,,applyFilter,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,scroll,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,setPixel,void,flash.BitmapData,,,,,,1,,10,
flash.display.BitmapData,,,,,drawWithQuality,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,unlock,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,colorTransform,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,fillRect,void,flash.BitmapData,,,,,,0,,10,
flash.display.BitmapData,,,,,histogram,Vector,flash.BitmapData,,,,,,0,,10,
