类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.Graphics,Object,,,,,,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,drawPath,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,beginGradientFill,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,lineShaderStyle,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,clear,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,beginBitmapFill,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,drawTriangles,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,beginShaderFill,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,drawRect,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,drawRoundRectComplex,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,drawCircle,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,lineStyle,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,drawEllipse,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,moveTo,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,lineTo,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,endFill,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,beginFill,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,drawRoundRect,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,cubicCurveTo,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,copyFrom,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,curveTo,void,egret.Graphics,,,,,,1,,10,
flash.display.Graphics,,,,,drawGraphicsData,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,lineGradientStyle,void,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,readGraphicsData,Vector,egret.Graphics,,,,,,0,,10,
flash.display.Graphics,,,,,lineBitmapStyle,void,egret.Graphics,,,,,,0,,10,
