类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.display.LoaderInfo,flash.events.EventDispatcher,,,,,,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,actionScriptVersion,1,,uint,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,applicationDomain,1,,flash.system.ApplicationDomain,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,bytesLoaded,1,,uint,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,bytesTotal,1,,uint,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,childAllowsParent,1,,Boolean,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,content,1,,flash.display.DisplayObject,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,contentType,1,,String,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,frameRate,1,,Number,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,height,1,,int,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,loader,1,,flash.display.Loader,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,loaderURL,1,,String,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,parameters,1,,Object,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,parentAllowsChild,1,,Boolean,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,sameDomain,1,,Boolean,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,sharedEvents,1,,flash.events.EventDispatcher,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,swfVersion,1,,uint,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,url,1,,String,flash.LoaderInfo,,,,,,1,,
flash.display.LoaderInfo,,,width,1,,int,flash.LoaderInfo,,,,,,1,,
