类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.MovieClip,flash.display.Sprite,1,,,,,egret.SwfMovie,,,,,,1,,3,
flash.display.MovieClip,,,trackAsMenu,,,Boolean,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,totalFrames,1,,int,egret.SwfMovie,,,,,,1,,3,
flash.display.MovieClip,,,currentLabels,1,,Array,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,currentFrame,1,,int,egret.SwfMovie,,,,,,1,,3,
flash.display.MovieClip,,,currentScene,1,,flash.display.Scene,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,framesLoaded,1,,int,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,currentLabel,1,,String,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,currentFrameLabel,1,,String,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,scenes,1,,Array,egret.SwfMovie,,,1,,,0,,3,
flash.display.MovieClip,,,enabled,,,Boolean,egret.SwfMovie,,,1,,,1,,3,
flash.display.MovieClip,,,isPlaying,1,,Boolean,egret.SwfMovie,,,1,,,1,,3,
flash.display.MovieClip,,,useHandCursor,,,Boolean,egret.SwfMovie,,,1,,,1,,0,
flash.Display.MovieClip,,,buttonMode,,,Boolean,egret.SwfMovie,,,1,,,1,,0,
flash.display.MovieClip,,,,,addFrameScript,void,egret.SwfMovie,,,,,,0,,10,
flash.display.MovieClip,,,,,nextFrame,void,egret.SwfMovie,,,,,,1,,3,
flash.display.MovieClip,,,,,stop,void,egret.SwfMovie,,,,,,1,,10,
flash.display.MovieClip,,,,,gotoAndStop,void,egret.SwfMovie,,,,,,1,,10,
flash.display.MovieClip,,,,,prevScene,void,egret.SwfMovie,,,,,,0,,1,
flash.display.MovieClip,,,,,nextScene,void,egret.SwfMovie,,,,,,0,,1,
flash.display.MovieClip,,,,,gotoAndPlay,void,egret.SwfMovie,,,,,,1,,10,
flash.display.MovieClip,,,,,play,void,egret.SwfMovie,,,,,,1,,10,
flash.display.MovieClip,,,,,prevFrame,void,egret.SwfMovie,,,,,,1,,3,
