类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.NativeMenu,flash.events.EventDispatcher,,,,,,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,isSupported,,,Boolean,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,items,,,Array,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,numItems,,,int,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,parent,,,flash.display.NativeMenu,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,containsItem,Boolean,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,addItemAt,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,getItemByName,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,setItemIndex,void,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,display,void,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,addSubmenu,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,dispatchContextMenuSelect,*,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,clone,flash.display.NativeMenu,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,getItemIndex,int,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,removeItemAt,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,removeItem,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,getItemAt,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,removeAllItems,void,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,addSubmenuAt,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
flash.display.NativeMenu,,,,,addItem,flash.display.NativeMenuItem,flash.NativeMenu,,,,,,1,,,
