类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.NativeMenuItem,flash.events.EventDispatcher,,,,,,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,keyEquivalentModifiers,,,Array,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,label,,,String,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,menu,,,flash.display.NativeMenu,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,enabled,,,Boolean,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,isSeparator,,,Boolean,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,data,,,Object,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,keyEquivalent,,,String,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,mnemonicIndex,,,int,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,submenu,,,flash.display.NativeMenu,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,checked,,,Boolean,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,name,,,String,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,,,clone,flash.display.NativeMenuItem,flash.NativeMenuItem,,,,,,1,,,
flash.display.NativeMenuItem,,,,,toString,String,flash.NativeMenuItem,,,,,,1,,,
