类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display3D.Context3D,flash.events.EventDispatcher,,,,,,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,enableErrorChecking,,,Boolean,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,driverInfo,,,String,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,profile,,,String,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createCubeTexture,flash.display3D.textures.CubeTexture,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createRectangleTexture,flash.display3D.textures.RectangleTexture,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,configureBackBuffer,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createProgram,flash.display3D.Program3D,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setSamplerStateAt,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setProgram,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setProgramConstantsFromVector,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,present,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,clear,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setProgramConstantsFromMatrix,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setProgramConstantsFromByteArray,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,drawTriangles,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setVertexBufferAt,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setBlendFactors,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,drawToBitmapData,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setColorMask,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setDepthTest,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setTextureAt,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setCulling,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setRenderToTexture,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setStencilActions,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setRenderToBackBuffer,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,dispose,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setStencilReferenceValue,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,setScissorRectangle,void,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createVertexBuffer,flash.display3D.VertexBuffer3D,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createIndexBuffer,flash.display3D.IndexBuffer3D,flash.Context3D,,,,,,1,,,
flash.display3D.Context3D,,,,,createTexture,flash.display3D.textures.Texture,flash.Context3D,,,,,,1,,,
