类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display3D.Context3DBlendFactor,Object,,,,,,flash.Context3DBlendFactor,,,,,,1,,,
flash.display3D.Context3DBlendFactor,,1,ONE_MINUS_SOURCE_COLOR,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ONE_MINUS_SOURCE_COLOR,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,ONE,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ONE,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,DESTINATION_ALPHA,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.DESTINATION_ALPHA,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,ZERO,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ZERO,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,DESTINATION_COLOR,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.DESTINATION_COLOR,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,SOURCE_ALPHA,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.SOURCE_ALPHA,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,ONE_MINUS_DESTINATION_ALPHA,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ONE_MINUS_DESTINATION_ALPHA,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,SOURCE_COLOR,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.SOURCE_COLOR,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,ONE_MINUS_DESTINATION_COLOR,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ONE_MINUS_DESTINATION_COLOR,,,1,1,,,
flash.display3D.Context3DBlendFactor,,1,ONE_MINUS_SOURCE_ALPHA,,,String,flash.Context3DBlendFactor,1,flash.Context3DBlendFactor.ONE_MINUS_SOURCE_ALPHA,,,1,1,,,
