类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.events.Event,,,,,,,egret.Event,,,,,,1,,,
flash.events.Event,,,bubbles,2,,Boolean,egret.Event,,,,,,1,,,
flash.events.Event,,,cancelable,2,,Boolean,egret.Event,,,,,,1,,,
flash.events.Event,,,currentTarget,2,,Object,egret.Event,,,,,,1,,,
flash.events.Event,,,eventPhase,2,,uint,egret.Event,,,,,,1,,,
flash.events.Event,,,target,2,,Object,egret.Event,,,,,,1,,,
flash.events.Event,,,type,2,,String,egret.Event,,,,,,1,,,
flash.events.Event,,,,,clone,flash.events.Event,egret.Event,,,,,,1,,,
flash.events.Event,,,,,formatToString,String,egret.Event,,,,,,1,,,
flash.events.Event,,,,,isDefaultPrevented,Boolean,egret.Event,,,,,,1,,,
flash.events.Event,,,,,preventDefault,void,egret.Event,,,,,,1,,,
flash.events.Event,,,,,stopImmediatePropagation,void,egret.Event,,,,,,1,,,
flash.events.Event,,,,,stopPropagation,void,egret.Event,,,,,,1,,,
flash.events.Event,,,,,toString,String,egret.Event,,,,,,1,,,
flash.events.Event,,1,ADDED_TO_STAGE,,,String,egret.Event,1,egret.Event.ADDED_TO_STAGE,,,,1,,,
flash.events.Event,,1,ACTIVATE,,,String,egret.Event,1,egret.Event.ACTIVATE,,,,1,,,
flash.events.Event,,1,ADDED,,,String,egret.Event,1,egret.Event.ADDED,,,,1,,,
flash.events.Event,,1,ADDED_TO_STAGE,,,String,egret.Event,1,egret.Event.ADDED_TO_STAGE,,,,1,,,
flash.events.Event,,1,CANCEL,,,String,egret.Event,1,flash.Event.CANCEL,,,,0,,,
flash.events.Event,,1,CHANGE,,,String,egret.Event,1,egret.Event.CHANGE,,,,1,,,
flash.events.Event,,1,CLOSE,,,String,egret.Event,1,egret.Event.CLOSE,,,,1,,,
flash.events.Event,,1,COMPLETE,,,String,egret.Event,1,egret.Event.COMPLETE,,,,1,,,
flash.events.Event,,1,CONNECT,,,String,egret.Event,1,egret.Event.CONNECT,,,,1,,,
flash.events.Event,,1,DEACTIVATE,,,String,egret.Event,1,egret.Event.DEACTIVATE,,,,1,,,
flash.events.Event,,1,ENTER_FRAME,,,String,egret.Event,1,egret.Event.ENTER_FRAME,,,,1,,,
flash.events.Event,,1,FULLSCREEN,,,String,egret.Event,1,flash.Event.FULLSCREEN,,,,0,,,
flash.events.Event,,1,ID3,,,String,egret.Event,1,flash.Event.ID3,,,,0,,,
flash.events.Event,,1,INIT,,,String,egret.Event,1,flash.Event.INIT,,,,0,,,
flash.events.Event,,1,MOUSE_LEAVE,,,String,egret.Event,1,flash.Event.MOUSE_LEAVE,,,,0,,,
flash.events.Event,,1,OPEN,,,String,egret.Event,1,flash.Event.OPEN,,,,0,,,
flash.events.Event,,1,REMOVED,,,String,egret.Event,1,egret.Event.REMOVED,,,,1,,,
flash.events.Event,,1,REMOVED_FROM_STAGE,,,String,egret.Event,1,egret.Event.REMOVED_FROM_STAGE,,,,1,,,
flash.events.Event,,1,RENDER,,,String,egret.Event,1,egret.Event.RENDER,,,,1,,,
flash.events.Event,,1,RESIZE,,,String,egret.Event,1,egret.Event.RESIZE,,,,1,,,
flash.events.Event,,1,SCROLL,,,String,egret.Event,1,flash.Event.SCROLL,,,,0,,,
flash.events.Event,,1,SELECT,,,String,egret.Event,1,flash.Event.SELECT,,,,0,,,
flash.events.Event,,1,SOUND_COMPLETE,,,String,egret.Event,1,flash.Event.SOUND_COMPLETE,,,,1,,,
flash.events.Event,,1,TAB_CHILDREN_CHANGE,,,String,egret.Event,1,flash.Event.TAB_CHILDREN_CHANGE,,,,0,,,
flash.events.Event,,1,TAB_ENABLED_CHANGE,,,String,egret.Event,1,flash.Event.TAB_ENABLED_CHANGE,,,,0,,,
flash.events.Event,,1,TAB_INDEX_CHANGE,,,String,egret.Event,1,flash.Event.TAB_INDEX_CHANGE,,,,0,,,
flash.events.Event,,1,UNLOAD,,,String,egret.Event,1,flash.Event.UNLOAD,,,,0,,,
flash.events.Event,,1,CONTEXT3D_CREATE,,,String,egret.Event,1,flash.Event.CONTEXT3D_CREATE,,,,1,,,
