类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.events.FocusEvent,flash.events.Event,,,,,,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,1,KEY_FOCUS_CHANGE,,,String,egret.FocusEvent,1,egret.FocusEvent.KEY_FOCUS_CHANGE,,,,0,,,
flash.events.FocusEvent,,1,FOCUS_IN,,,String,egret.FocusEvent,1,egret.FocusEvent.FOCUS_IN,,,,1,,,
flash.events.FocusEvent,,1,MOUSE_FOCUS_CHANGE,,,String,egret.FocusEvent,1,egret.FocusEvent.MOUSE_FOCUS_CHANGE,,,,0,,,
flash.events.FocusEvent,,1,FOCUS_OUT,,,String,egret.FocusEvent,1,egret.FocusEvent.FOCUS_OUT,,,,1,,,
flash.events.FocusEvent,,,relatedObject,,,flash.display.InteractiveObject,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,shiftKey,,,Boolean,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,direction,,,String,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,keyCode,,,uint,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,isRelatedObjectInaccessible,,,Boolean,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,,,clone,flash.events.Event,egret.FocusEvent,,,,,,1,,,
flash.events.FocusEvent,,,,,toString,String,egret.FocusEvent,,,,,,1,,,
