类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.events.KeyboardEvent,flash.events.Event,,,,,,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,1,KEY_DOWN,,,String,flash.KeyboardEvent,1,flash.KeyboardEvent.KEY_DOWN,,,,1,,,
flash.events.KeyboardEvent,,1,KEY_UP,,,String,flash.KeyboardEvent,1,flash.KeyboardEvent.KEY_UP,,,,1,,,
flash.events.KeyboardEvent,,,ctrlKey,,,Boolean,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,altKey,,,Boolean,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,shiftKey,,,Boolean,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,keyCode,,,uint,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,commandKey,,,Boolean,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,controlKey,,,Boolean,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,charCode,,,uint,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,keyLocation,,,uint,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,,,clone,flash.events.Event,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,,,toString,String,flash.KeyboardEvent,,,,,,1,,,
flash.events.KeyboardEvent,,,,,updateAfterEvent,void,flash.KeyboardEvent,,,,,,1,,,
