类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.filters.GlowFilter,flash.filters.BitmapFilter,,,,,,flash.GlowFilter,,,,,,1,,,
flash.filters.BevelFilter,,,,,,,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,angle,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,distance,,,Boolean,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,blurX,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,highlightAlpha,,,uint,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,blurY,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,quality,,,int,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,knockout,,,Boolean,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,shadowAlpha,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,shadowColor,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,strength,,,Number,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,type,,,String,flash.BevelFilter,,,,,,1,,,
flash.filters.BevelFilter,,,,,clone,flash.filters.BevelFilter,flash.BevelFilter,,,,,,1,,,
