类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.filters.BitmapFilter,,,,,,,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,strength,,,Number,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,inner,,,Boolean,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,blurX,,,Number,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,color,,,uint,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,blurY,,,Number,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,quality,,,int,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,knockout,,,Boolean,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,alpha,,,Number,flash.BitmapFilter,,,,,,1,,,
flash.filters.BitmapFilter,,,,,clone,flash.filters.BitmapFilter,flash.BitmapFilter,,,,,,1,,,
