类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.geom.Matrix3D,,,,,,,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,determinant,1,,Number,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,position,,,flash.geom.Vector3D,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,rawData,,,Vector,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,append,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,appendRotation,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,appendScale,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,appendTranslation,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,clone,flash.geom.Matrix3D,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyColumnFrom,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyColumnTo,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyFrom,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyRawDataFrom,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyRawDataTo,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyRowFrom,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyRowTo,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,copyToMatrix3D,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,decompose,Vector,flash.Matrix3D,,,,,,0,,
flash.geom.Matrix3D,,,,,deltaTransformVector,flash.geom.Vector3D,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,identity,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,interpolate,flash.geom.Matrix3D,flash.Matrix3D,,,,,,0,,
flash.geom.Matrix3D,,,,,interpolateTo,void,flash.Matrix3D,,,,,,0,,
flash.geom.Matrix3D,,,,,invert,Boolean,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,pointAt,void,flash.Matrix3D,,,,,,0,,
flash.geom.Matrix3D,,,,,prepend,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,prependRotation,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,prependScale,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,prependTranslation,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,recompose,Boolean,flash.Matrix3D,,,,,,0,,
flash.geom.Matrix3D,,,,,transformVector,flash.geom.Vector3D,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,transformVectors,void,flash.Matrix3D,,,,,,1,,
flash.geom.Matrix3D,,,,,transpose,void,flash.Matrix3D,,,,,,1,,
