类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.globalization.LastOperationStatus,Object,,,,,,flash.LastOperationStatus,,,,,,0,,,
flash.globalization.LastOperationStatus,,1,PARSE_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.PARSE_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,INDEX_OUT_OF_BOUNDS_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.INDEX_OUT_OF_BOUNDS_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,UNSUPPORTED_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.UNSUPPORTED_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,PLATFORM_API_FAILED,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.PLATFORM_API_FAILED,,,,0,,,
flash.globalization.LastOperationStatus,,1,TRUNCATED_CHAR_FOUND,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.TRUNCATED_CHAR_FOUND,,,,0,,,
flash.globalization.LastOperationStatus,,1,NO_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.NO_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,UNEXPECTED_TOKEN,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.UNEXPECTED_TOKEN,,,,0,,,
flash.globalization.LastOperationStatus,,1,PATTERN_SYNTAX_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.PATTERN_SYNTAX_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,MEMORY_ALLOCATION_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.MEMORY_ALLOCATION_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,ERROR_CODE_UNKNOWN,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.ERROR_CODE_UNKNOWN,,,,0,,,
flash.globalization.LastOperationStatus,,1,ILLEGAL_ARGUMENT_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.ILLEGAL_ARGUMENT_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,BUFFER_OVERFLOW_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.BUFFER_OVERFLOW_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,INVALID_ATTR_VALUE,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.INVALID_ATTR_VALUE,,,,0,,,
flash.globalization.LastOperationStatus,,1,NUMBER_OVERFLOW_ERROR,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.NUMBER_OVERFLOW_ERROR,,,,0,,,
flash.globalization.LastOperationStatus,,1,USING_FALLBACK_WARNING,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.USING_FALLBACK_WARNING,,,,0,,,
flash.globalization.LastOperationStatus,,1,INVALID_CHAR_FOUND,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.INVALID_CHAR_FOUND,,,,0,,,
flash.globalization.LastOperationStatus,,1,USING_DEFAULT_WARNING,,,String,flash.LastOperationStatus,1,flash.LastOperationStatus.USING_DEFAULT_WARNING,,,,0,,,
