类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.globalization.LocaleID,Object,,,,,,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,1,DEFAULT,,,String,flash.LocaleID,1,flash.LocaleID.DEFAULT,,,,0,,,
flash.globalization.LocaleID,,,name,,,String,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,lastOperationStatus,,,String,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,determinePreferredLocales,Vector.<String>,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,isRightToLeft,Boolean,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,getLanguage,String,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,getRegion,String,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,getKeysAndValues,Object,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,getVariant,String,flash.LocaleID,,,,,,0,,,
flash.globalization.LocaleID,,,,,getScript,String,flash.LocaleID,,,,,,0,,,
