类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.media.Sound,flash.events.EventDispatcher,,,,,,flash.Sound,,,,,,1,,,
flash.media.Sound,,,isBuffering,,,Boolean,flash.Sound,,,,,,1,,,
flash.media.Sound,,,url,,,String,flash.Sound,,,,,,1,,,
flash.media.Sound,,,bytesLoaded,,,uint,flash.Sound,,,,,,1,,,
flash.media.Sound,,,length,,,Number,flash.Sound,,,,,,1,,,
flash.media.Sound,,,id3,,,flash.media.ID3Info,flash.Sound,,,,,,1,,,
flash.media.Sound,,,isURLInaccessible,,,Boolean,flash.Sound,,,,,,1,,,
flash.media.Sound,,,bytesTotal,,,int,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,load,void,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,close,void,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,loadCompressedDataFromByteArray,void,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,loadPCMFromByteArray,void,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,extract,Number,flash.Sound,,,,,,1,,,
flash.media.Sound,,,,,play,flash.media.SoundChannel,flash.Sound,,,,,,1,,,
