类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.net.SharedObject,flash.events.EventDispatcher,,,,,,flash.SharedObject,,,,,,1,,10,
flash.net.SharedObject,,,defaultObjectEncoding,,,uint,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,preventBackup,,,Boolean,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,client,,,Object,flash.SharedObject,,,,,,1,,10,
flash.net.SharedObject,,,size,1,,uint,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,data,1,,Object,flash.SharedObject,,,,,,1,,10,
flash.net.SharedObject,,,objectEncoding,,,uint,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,fps,2,,Number,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,getDiskUsage,int,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,1,,,getLocal,flash.net.SharedObject,flash.SharedObject,1,,,flash.SharedObject.getLocal,,1,,10,
flash.net.SharedObject,,,,,getRemote,flash.net.SharedObject,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,deleteAll,int,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,send,void,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,close,void,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,clear,void,flash.SharedObject,,,,,,1,,10,
flash.net.SharedObject,,,,,flush,String,flash.SharedObject,,,,,,1,,10,
flash.net.SharedObject,,,,,connect,void,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,setProperty,void,flash.SharedObject,,,,,,0,,10,
flash.net.SharedObject,,,,,setDirty,void,flash.SharedObject,,,,,,0,,10,
