类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.net.URLStream,flash.events.EventDispatcher,,,,,,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,bytesAvailable,,,*,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,connected,,,String,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,endian,,,String,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,objectEncoding,,,String,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,load,void,flash.URLStream,,,,load,,0,,10,
flash.net.URLStream,,,,,close,void,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readBoolean,Boolean,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readByte,int,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readBytes,void,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readDouble,Number,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readFloat,Number,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readInt,int,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readMultiByte,String,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readObject,*,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readShort,int,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readUnsignedByte,uint,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readUnsignedInt,uint,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readUnsignedShort,uint,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readUTF,String,flash.URLStream,,,,,,0,,10,
flash.net.URLStream,,,,,readUTFBytes,String,flash.URLStream,,,,,,0,,10,
