类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.system.Capabilities,Object,,,,,,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasStreamingVideo,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasVideoEncoder,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,isDebugger,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,localFileReadDisable,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,manufacturer,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,os,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,cpuArchitecture,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,playerType,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,serverString,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,screenColor,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,pixelAspectRatio,,,Number,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,language,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,screenDPI,,,Number,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasEmbeddedVideo,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,languages,,,Array,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,screenResolutionX,,,Number,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasAudio,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,isEmbeddedInAcrobat,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,screenResolutionY,,,Number,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,avHardwareDisable,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,touchscreenType,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasAccessibility,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasIME,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasAudioEncoder,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,version,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasTLS,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasMP3,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,maxLevelIDC,,,String,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasPrinting,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,supports32BitProcesses,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasScreenBroadcast,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,supports64BitProcesses,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasScreenPlayback,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,_internal,,,uint,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,hasStreamingAudio,,,Boolean,flash.Capabilities,,,,,,1,,,
flash.system.Capabilities,,1,,,hasMultiChannelAudio,Boolean,flash.Capabilities,,,,,,1,,,
