类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.system.Security,Object,,,,,,flash.Security,,,,,,1,,,
flash.system.Security,,1,LOCAL_TRUSTED,,,String,flash.Security,1,flash.Security.LOCAL_TRUSTED,,,,1,,,
flash.system.Security,,1,LOCAL_WITH_NETWORK,,,String,flash.Security,1,flash.Security.LOCAL_WITH_NETWORK,,,,1,,,
flash.system.Security,,1,REMOTE,,,String,flash.Security,1,flash.Security.REMOTE,,,,1,,,
flash.system.Security,,1,APPLICATION,,,String,flash.Security,1,flash.Security.APPLICATION,,,,1,,,
flash.system.Security,,1,LOCAL_WITH_FILE,,,String,flash.Security,1,flash.Security.LOCAL_WITH_FILE,,,,1,,,
flash.system.Security,,,exactSettings,,,Boolean,flash.Security,,,,,,1,,,
flash.system.Security,,,disableAVM1Loading,,,Boolean,flash.Security,,,,,,1,,,
flash.system.Security,,,pageDomain,,,String,flash.Security,,,,,,1,,,
flash.system.Security,,,sandboxType,,,String,flash.Security,,,,,,1,,,
flash.system.Security,,,,,allowInsecureDomain,void,flash.Security,,,,,,1,,,
flash.system.Security,,,,,showSettings,void,flash.Security,,,,,,1,,,
flash.system.Security,,,,,allowDomain,void,flash.Security,,,,,,1,,,
flash.system.Security,,,,,loadPolicyFile,void,flash.Security,,,,,,1,,,
