类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.ui.ContextMenu,flash.display.NativeMenu,,,,,,flash.ContextMenu,,,,,,1,,,
flash.ui.ContextMenu,,,isSupported,,,Boolean,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,items,,,Array,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,clipboardMenu,,,Boolean,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,numItems,,,int,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,clipboardItems,,,flash.ui.ContextMenuClipboardItems,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,link,,,flash.net.URLRequest,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,builtInItems,,,flash.ui.ContextMenuBuiltInItems,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,customItems,,,Array,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,containsItem,Boolean,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,display,void,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,hideBuiltInItems,void,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,removeAllItems,void,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,addItemAt,flash.display.NativeMenuItem,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,clone,flash.display.NativeMenu,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,getItemIndex,int,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,removeItemAt,flash.display.NativeMenuItem,flash.ContextMenu,,,,,,0,,,
flash.ui.ContextMenu,,,,,getItemAt,flash.display.NativeMenuItem,flash.ContextMenu,,,,,,0,,,
