类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.ui.Keyboard,Object,,,,,,flash.Keyboard,,,,,,1,,,
flash.ui.Keyboard,,1,STRING_CLEARLINE,,,String,flash.Keyboard,1,flash.Keyboard.STRING_CLEARLINE,,,,1,,,
flash.ui.Keyboard,,1,STRING_CLEARDISPLAY,,,String,flash.Keyboard,1,flash.Keyboard.STRING_CLEARDISPLAY,,,,1,,,
flash.ui.Keyboard,,1,STRING_INSERTLINE,,,String,flash.Keyboard,1,flash.Keyboard.STRING_INSERTLINE,,,,1,,,
flash.ui.Keyboard,,1,STRING_DELETELINE,,,String,flash.Keyboard,1,flash.Keyboard.STRING_DELETELINE,,,,1,,,
flash.ui.Keyboard,,1,STRING_INSERTCHAR,,,String,flash.Keyboard,1,flash.Keyboard.STRING_INSERTCHAR,,,,1,,,
flash.ui.Keyboard,,1,STRING_DELETECHAR,,,String,flash.Keyboard,1,flash.Keyboard.STRING_DELETECHAR,,,,1,,,
flash.ui.Keyboard,,1,STRING_PREV,,,String,flash.Keyboard,1,flash.Keyboard.STRING_PREV,,,,1,,,
flash.ui.Keyboard,,1,STRING_NEXT,,,String,flash.Keyboard,1,flash.Keyboard.STRING_NEXT,,,,1,,,
flash.ui.Keyboard,,1,STRING_SELECT,,,String,flash.Keyboard,1,flash.Keyboard.STRING_SELECT,,,,1,,,
flash.ui.Keyboard,,1,STRING_EXECUTE,,,String,flash.Keyboard,1,flash.Keyboard.STRING_EXECUTE,,,,1,,,
flash.ui.Keyboard,,1,STRING_UNDO,,,String,flash.Keyboard,1,flash.Keyboard.STRING_UNDO,,,,1,,,
flash.ui.Keyboard,,1,STRING_REDO,,,String,flash.Keyboard,1,flash.Keyboard.STRING_REDO,,,,1,,,
flash.ui.Keyboard,,1,STRING_FIND,,,String,flash.Keyboard,1,flash.Keyboard.STRING_FIND,,,,1,,,
flash.ui.Keyboard,,1,STRING_HELP,,,String,flash.Keyboard,1,flash.Keyboard.STRING_HELP,,,,1,,,
flash.ui.Keyboard,,1,STRING_MODESWITCH,,,String,flash.Keyboard,1,flash.Keyboard.STRING_MODESWITCH,,,,1,,,
flash.ui.Keyboard,,1,CharCodeStrings,,,Array,flash.Keyboard,1,flash.Keyboard.CharCodeStrings,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_0,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_0,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_1,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_1,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_2,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_2,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_3,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_3,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_4,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_4,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_5,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_5,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_6,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_6,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_7,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_7,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_8,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_8,,,,1,,,
flash.ui.Keyboard,,1,NUMBER_9,,,uint,flash.Keyboard,1,flash.Keyboard.NUMBER_9,,,,1,,,
flash.ui.Keyboard,,1,RED,,,uint,flash.Keyboard,1,flash.Keyboard.RED,,,,1,,,
flash.ui.Keyboard,,1,SEMICOLON,,,uint,flash.Keyboard,1,flash.Keyboard.SEMICOLON,,,,1,,,
flash.ui.Keyboard,,1,GREEN,,,uint,flash.Keyboard,1,flash.Keyboard.GREEN,,,,1,,,
flash.ui.Keyboard,,1,EQUAL,,,uint,flash.Keyboard,1,flash.Keyboard.EQUAL,,,,1,,,
flash.ui.Keyboard,,1,BLUE,,,uint,flash.Keyboard,1,flash.Keyboard.BLUE,,,,1,,,
flash.ui.Keyboard,,1,COMMA,,,uint,flash.Keyboard,1,flash.Keyboard.COMMA,,,,1,,,
flash.ui.Keyboard,,1,MINUS,,,uint,flash.Keyboard,1,flash.Keyboard.MINUS,,,,1,,,
flash.ui.Keyboard,,1,PERIOD,,,uint,flash.Keyboard,1,flash.Keyboard.PERIOD,,,,1,,,
flash.ui.Keyboard,,1,SLASH,,,uint,flash.Keyboard,1,flash.Keyboard.SLASH,,,,1,,,
flash.ui.Keyboard,,1,BACKQUOTE,,,uint,flash.Keyboard,1,flash.Keyboard.BACKQUOTE,,,,1,,,
flash.ui.Keyboard,,1,LEFTBRACKET,,,uint,flash.Keyboard,1,flash.Keyboard.LEFTBRACKET,,,,1,,,
flash.ui.Keyboard,,1,BACKSLASH,,,uint,flash.Keyboard,1,flash.Keyboard.BACKSLASH,,,,1,,,
flash.ui.Keyboard,,1,RIGHTBRACKET,,,uint,flash.Keyboard,1,flash.Keyboard.RIGHTBRACKET,,,,1,,,
flash.ui.Keyboard,,1,QUOTE,,,uint,flash.Keyboard,1,flash.Keyboard.QUOTE,,,,1,,,
flash.ui.Keyboard,,1,ALTERNATE,,,uint,flash.Keyboard,1,flash.Keyboard.ALTERNATE,,,,1,,,
flash.ui.Keyboard,,1,BACKSPACE,,,uint,flash.Keyboard,1,flash.Keyboard.BACKSPACE,,,,1,,,
flash.ui.Keyboard,,1,CAPS_LOCK,,,uint,flash.Keyboard,1,flash.Keyboard.CAPS_LOCK,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_DOWNARROW,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_DOWNARROW,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_LEFTARROW,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_LEFTARROW,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_UPARROW,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_UPARROW,,,,1,,,
