类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.utils.ByteArray,,,,,,,flash.ByteArray,,,,,,1,,
flash.utils.ByteArray,,,bytesAvailable,1,,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,defaultObjectEncoding,,,uint,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,endian,,,String,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,length,,,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,objectEncoding ,,,uint,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,position,,,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,compress,void,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,readBoolean,Boolean,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readByte,int,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readBytes,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readDouble,Number,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readFloat,Number,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readInt,int,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readMultiByte ,String,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readObject,*,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,readShort,int,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedByte ,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedInt,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUnsignedShort ,uint,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUTF ,String,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,readUTFBytes ,String,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,toString,String,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,uncompress,void,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,writeBoolean,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeByte,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeBytes,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeDouble,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeFloat,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeInt,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeMultiByte,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeObject,void,flash.ByteArray,,,,,,1,0,
flash.utils.ByteArray,,,,,writeShort,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUnsignedInt,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUTF,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,writeUTFBytes ,void,flash.ByteArray,,,,,,1,1,
flash.utils.ByteArray,,,,,clear,void,flash.ByteArray,,,,,,1,1,
