类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,测试
v1.0,,,,,,,,,,,,,,,
flash.utils.IDataOutput,,,,,,,flash.IDataOutput,,,,,,1,,
flash.utils.IDataOutput,,,endian,,,String,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,objectEncoding ,,,uint,flash.IDataOutput,,,,,,1,0,
flash.utils.IDataOutput,,,,,writeBoolean,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeByte,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeBytes,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeDouble,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeFloat,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeInt,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeMultiByte,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeObject,void,flash.IDataOutput,,,,,,1,0,
flash.utils.IDataOutput,,,,,writeShort,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUnsignedInt,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUTF,void,flash.IDataOutput,,,,,,1,1,
flash.utils.IDataOutput,,,,,writeUTFBytes ,void,flash.IDataOutput,,,,,,1,1,
