类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.DisplayObject,flash.events.EventDispatcher,,,,,,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,rotationX,,,Number,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,scaleX,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,scaleY,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,mask,,,flash.display.DisplayObject,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,mouseY,1,,Number,egret.DisplayObject,,,1,,,1,,10,
flash.display.DisplayObject,,,height,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,rotation,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,width,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,name,,,String,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,stage,1,,flash.display.Stage,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,blendShader,2,,flash.display.Shader,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,y,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,cacheAsBitmapMatrix,,,flash.geom.Matrix,egret.DisplayObject,,,1,,,0,,10,
flash.display.DisplayObject,,,z,,,Number,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,x,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,visible,,,Boolean,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,opaqueBackground,,,Object,egret.DisplayObject,,,1,,,1,,10,
flash.display.DisplayObject,,,accessibilityProperties,,,flash.accessibility.AccessibilityProperties,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,filters,,,Array,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,rotationY,,,Number,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,root,1,,flash.display.DisplayObject,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,rotationZ,,,Number,egret.DisplayObject,,,1,,,0,,10,
flash.display.DisplayObject,,,scale9Grid,,,flash.geom.Rectangle,egret.DisplayObject,,,1,,,1,,10,
flash.display.DisplayObject,,,scaleZ,,,Number,egret.DisplayObject,,,1,,,0,,10,
flash.display.DisplayObject,,,blendMode,,,String,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,parent,1,,flash.display.DisplayObjectContainer,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,scrollRect,,,flash.geom.Rectangle,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,loaderInfo,1,,flash.display.LoaderInfo,egret.DisplayObject,,,1,,,1,,10,
flash.display.DisplayObject,,,metaData,,,Object,egret.DisplayObject,,,1,,,0,,10,
flash.display.DisplayObject,,,mouseX,1,,Number,egret.DisplayObject,,,1,,,1,,10,
flash.display.DisplayObject,,,transform,,,flash.geom.Transform,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,alpha,,,Number,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,cacheAsBitmap,,,Boolean,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,mouseEnabled,,,Boolean,egret.DisplayObject,,touchEnabled,,,,1,,,
flash.display.DisplayObject,,,,,hitTestPoint,Boolean,egret.DisplayObject,,,,,,1,,10,
flash.display.DisplayObject,,,,,localToGlobal,flash.geom.Point,egret.DisplayObject,1,,,flash.localToGlobal,b0 a1,1,,10,
flash.display.DisplayObject,,,,,globalToLocal,flash.geom.Point,egret.DisplayObject,1,,,flash.globalToLocal,b0 a1,1,,10,
flash.display.DisplayObject,,,,,hitTestObject,Boolean,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,,,globalToLocal3D,flash.geom.Vector3D,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,,,getBounds,flash.geom.Rectangle,egret.DisplayObject,1,,,flash.getBounds,b0 a1,1,,10,
flash.display.DisplayObject,,,,,local3DToGlobal,flash.geom.Point,egret.DisplayObject,,,,,,0,,10,
flash.display.DisplayObject,,,,,getRect,flash.geom.Rectangle,egret.DisplayObject,,,,,,0,,10,
