类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.Sprite,flash.display.DisplayObjectContainer,,,,,,egret.Sprite,,,,,,1,,10,
flash.display.Sprite,,,useHandCursor,,,Boolean,egret.Sprite,,,1,,,0,,10,
flash.display.Sprite,,,dropTarget,1,,flash.display.DisplayObject,egret.Sprite,,,1,,,0,,10,
flash.display.Sprite,,,hitArea,,,flash.display.Sprite,egret.Sprite,,,1,,,0,,10,
flash.display.Sprite,,,soundTransform,,,flash.media.SoundTransform,egret.Sprite,,,1,,,0,,10,
flash.display.Sprite,,,graphics,1,,flash.display.Graphics,egret.Sprite,,,,,,1,,10,
flash.display.Sprite,,,buttonMode,,,Boolean,egret.Sprite,,,1,,,1,,10,
flash.display.Sprite,,,,,startDrag,void,,,,1,flash.startDrag,b0,1,,10,
flash.display.Sprite,,,,,stopDrag,void,,,,1,flash.stopDrag,b0,1,,10,
flash.display.Sprite,,,,,startTouchDrag,void,,,,1,flash.startDrag,b0,1,,10,
flash.display.Sprite,,,,,stopTouchDrag,void,,,,1,flash.stopDrag,b0,1,,10,
