类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.Stage,flash.display.DisplayObjectContainer,,,,,,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,supportsOrientationChange,1,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,constructor,,,*,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,height,,,Number,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,width,,,Number,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,frameRate,,,Number,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,nativeWindow,1,,flash.display.NativeWindow,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,displayState,,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,color,,,uint,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,showDefaultContextMenu,,,Boolean,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,focus,,,flash.display.InteractiveObject,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,colorCorrectionSupport,1,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,colorCorrection,,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,stageWidth,,,int,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,stageHeight,,,int,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,mouseLock,,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,stageFocusRect,,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,stageVideos,1,,Vector,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,fullScreenSourceRect,,,flash.geom.Rectangle,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,fullScreenWidth,1,,uint,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,fullScreenHeight,1,,uint,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,stage3Ds,1,,Vector,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,softKeyboardRect,1,,flash.geom.Rectangle,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,allowsFullScreen,1,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,allowsFullScreenInteractive,1,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,contentsScaleFactor,1,,Number,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,displayContextInfo,1,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,wmodeGPU,1,,Boolean,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,orientation,1,,String,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,autoOrients,,,Boolean,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,deviceOrientation,1,,String,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,supportedOrientations,1,,Vector,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,numChildren,1,,int,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,textSnapshot,1,,flash.text.TextSnapshot,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,mouseChildren,,,Boolean,egret.Stage,,touchEnabled,,,,1,,10,
flash.display.Stage,,,align,,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,quality,,,String,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,scaleMode,,,String,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,tabChildren,,,Boolean,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,,,addChild,flash.display.DisplayObject,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,invalidate,void,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,isFocusInaccessible,Boolean,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,,,addEventListener,void,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,dispatchEvent,Boolean,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,willTrigger,Boolean,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,hasEventListener,Boolean,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,assignFocus,void,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,,,setOrientation,void,egret.Stage,,,1,,,1,,10,
flash.display.Stage,,,,,setAspectRatio,void,egret.Stage,,,,,,0,,10,
flash.display.Stage,,,,,removeChildAt,flash.display.DisplayObject,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,addChildAt,flash.display.DisplayObject,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,setChildIndex,void,egret.Stage,,,,,,1,,10,
flash.display.Stage,,,,,swapChildrenAt,void,egret.Stage,,,,,,1,,10,
