类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.display.StageQuality,Object,,,,,,flash.StageQuality,,,,,,1,,,
flash.display.StageQuality,,1,HIGH_16X16_LINEAR,,,String,flash.StageQuality,1,flash.StageQuality.HIGH_16X16_LINEAR,,,1,1,,,
flash.display.StageQuality,,1,LOW,,,String,flash.StageQuality,1,flash.StageQuality.LOW,,,1,1,,,
flash.display.StageQuality,,1,BEST,,,String,flash.StageQuality,1,flash.StageQuality.BEST,,,1,1,,,
flash.display.StageQuality,,1,MEDIUM,,,String,flash.StageQuality,1,flash.StageQuality.MEDIUM,,,1,1,,,
flash.display.StageQuality,,1,HIGH_8X8,,,String,flash.StageQuality,1,flash.StageQuality.HIGH_8X8,,,1,1,,,
flash.display.StageQuality,,1,HIGH,,,String,flash.StageQuality,1,flash.StageQuality.HIGH,,,1,1,,,
flash.display.StageQuality,,1,HIGH_8X8_LINEAR,,,String,flash.StageQuality,1,flash.StageQuality.HIGH_8X8_LINEAR,,,1,1,,,
flash.display.StageQuality,,1,HIGH_16X16,,,String,flash.StageQuality,1,flash.StageQuality.HIGH_16X16,,,1,1,,,
