类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.errors.SQLErrorOperation,Object,,,,,,flash.SQLErrorOperation,,,,,,1,,,
flash.errors.SQLErrorOperation,,1,SCHEMA,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.SCHEMA,,,,1,,,
flash.errors.SQLErrorOperation,,1,BEGIN,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.BEGIN,,,,1,,,
flash.errors.SQLErrorOperation,,1,ROLLBACK,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.ROLLBACK,,,,1,,,
flash.errors.SQLErrorOperation,,1,ANALYZE,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.ANALYZE,,,,1,,,
flash.errors.SQLErrorOperation,,1,RELEASE_SAVEPOINT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.RELEASE_SAVEPOINT,,,,1,,,
flash.errors.SQLErrorOperation,,1,ATTACH,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.ATTACH,,,,1,,,
flash.errors.SQLErrorOperation,,1,ROLLBACK_TO_SAVEPOINT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.ROLLBACK_TO_SAVEPOINT,,,,1,,,
flash.errors.SQLErrorOperation,,1,SET_SAVEPOINT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.SET_SAVEPOINT,,,,1,,,
flash.errors.SQLErrorOperation,,1,COMPACT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.COMPACT,,,,1,,,
flash.errors.SQLErrorOperation,,1,CLOSE,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.CLOSE,,,,1,,,
flash.errors.SQLErrorOperation,,1,COMMIT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.COMMIT,,,,1,,,
flash.errors.SQLErrorOperation,,1,DEANALYZE,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.DEANALYZE,,,,1,,,
flash.errors.SQLErrorOperation,,1,OPEN,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.OPEN,,,,1,,,
flash.errors.SQLErrorOperation,,1,DETACH,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.DETACH,,,,1,,,
flash.errors.SQLErrorOperation,,1,EXECUTE,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.EXECUTE,,,,1,,,
flash.errors.SQLErrorOperation,,1,REENCRYPT,,,String,flash.SQLErrorOperation,1,flash.SQLErrorOperation.REENCRYPT,,,,1,,,
