类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.events.TouchEvent,flash.events.Event,,,,,,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_BEGIN,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_BEGIN,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_OUT,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_OUT,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_END,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_END,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_OVER,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_OVER,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_MOVE,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_MOVE,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_MOVE,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_MOVE,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_ROLL_OUT,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_ROLL_OUT,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_OVER,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_OVER,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_ROLL_OVER,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_ROLL_OVER,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_OUT,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_OUT,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_ROLL_OVER,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_ROLL_OVER,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_ROLL_OUT,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_ROLL_OUT,,,,0,,,
flash.events.TouchEvent,,1,TOUCH_TAP,,,String,egret.TouchEvent,1,egret.TouchEvent.TOUCH_TAP,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_BEGIN,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_BEGIN,,,,0,,,
flash.events.TouchEvent,,1,PROXIMITY_END,,,String,egret.TouchEvent,1,egret.TouchEvent.PROXIMITY_END,,,,0,,,
flash.events.TouchEvent,,,isTouchPointCanceled,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,controlKey,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,localX,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,localY,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,timestamp,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,isRelatedObjectInaccessible,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,relatedObject,,,flash.display.InteractiveObject,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,ctrlKey,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,altKey,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,shiftKey,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,stageX,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,stageY,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,commandKey,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,touchPointID,,,int,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,isPrimaryTouchPoint,,,Boolean,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,sizeX,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,sizeY,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,pressure,,,Number,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,touchIntent,,,String,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,,,toString,String,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,,,clone,flash.events.Event,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,,,updateAfterEvent,void,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,,,getSamples,uint,egret.TouchEvent,,,,,,0,,,
flash.events.TouchEvent,,,,,isToolButtonDown,Boolean,egret.TouchEvent,,,,,,0,,,
