类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.filters.DropShadowFilter,flash.filters.BitmapFilter,,,,,,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,alpha,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,quality,,,int,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,distance,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,angle,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,color,,,uint,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,blurY,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,strength,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,inner,,,Boolean,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,blurX,,,Number,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,knockout,,,Boolean,flash.DropShadowFilter,,,,,,1,,,
flash.filters.DropShadowFilter,,,hideObject,,,Boolean,flash.DropShadowFilter,,,,,,0,,,
flash.filters.DropShadowFilter,,,,,clone,flash.filters.BitmapFilter,flash.DropShadowFilter,,,,,,1,,,
