类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.filters.GlowFilter,flash.filters.BitmapFilter,,,,,,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,strength,,,Number,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,inner,,,Boolean,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,blurX,,,Number,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,color,,,uint,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,blurY,,,Number,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,quality,,,int,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,knockout,,,Boolean,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,alpha,,,Number,flash.GlowFilter,,,,,,1,,,
flash.filters.GlowFilter,,,,,clone,flash.filters.BitmapFilter,flash.GlowFilter,,,,,,1,,,
