类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.geom.ColorTransform,,,,,,,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,alphaMultiplier,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,alphaOffset,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,blueMultiplier,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,blueOffset,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,color,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,greenMultiplier,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,greenOffset,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,redMultiplier,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,redOffset,,,Number,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,,,concat,void,egret.ColorTransform,,,,,,1,,10,
flash.geom.ColorTransform,,,,,toString,String,egret.ColorTransform,,,,,,1,,10,
