类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.geom.Point,,,,,,,egret.Point,,,,,,1,,,
flash.geom.Point,,,length,,,Number,egret.Point,,,,,,1,,,
flash.geom.Point,,,x,,,Number,egret.Point,,,,,,1,,,
flash.geom.Point,,,y,,,Number,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,add,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,clone,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,1,,,distance,Number,egret.Point,1,,,egret.Point.distance,,1,,,
flash.geom.Point,,,,,equals,Boolean,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,interpolate,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,normalize,void,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,offset,void,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,polar,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,subtract,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,toString,String,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,copyFrom,void,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,interpolate,flash.geom.Point,egret.Point,,,,,,1,,,
flash.geom.Point,,,,,setTo,void,egret.Point,,,,,,1,,,
