类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.globalization.DateTimeFormatter,Object,,,,,,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,actualLocaleIDName,,,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,requestedLocaleIDName,,,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,lastOperationStatus,,,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getAvailableLocaleIDNames,Vector.<String>,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getDateStyle,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,setDateTimeStyles,void,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,formatUTC,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getTimeStyle,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getMonthNames,Vector.<String>,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,format,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getWeekdayNames,Vector.<String>,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getDateTimePattern,String,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,setDateTimePattern,void,flash.DateTimeFormatter,,,,,,0,,,
flash.globalization.DateTimeFormatter,,,,,getFirstWeekday,int,flash.DateTimeFormatter,,,,,,0,,,
