类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.net.NetConnection,flash.events.EventDispatcher,,,,,,flash.NetConnection,,,,,,1,,,
flash.net.NetConnection,,,defaultObjectEncoding,,,uint,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,connected,,,Boolean,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,proxyType,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,uri,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,client,,,Object,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,httpIdleTimeout,,,Number,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,unconnectedPeerStreams,,,Array,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,farNonce,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,nearNonce,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,maxPeerConnections,,,uint,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,farID,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,protocol,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,nearID,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,usingTLS,,,Boolean,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,connectedProxyType,,,String,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,objectEncoding,,,uint,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,,,close,void,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,,,call,void,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,,,connect,void,flash.NetConnection,,,,,,0,,,
flash.net.NetConnection,,,,,addHeader,void,flash.NetConnection,,,,,,0,,,
