类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.net.Socket,flash.events.EventDispatcher,,,,,,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,bytesAvailable,1,,uint,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,endian,,,String,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,objectEncoding,,,uint,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,remoteAddress,1,,String,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,timeout,,,uint,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,localAddress,1,,String,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,connected,1,,Boolean,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,remotePort,1,,int,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,localPort,1,,int,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,bytesPending,1,,uint,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,,,readBoolean,Boolean,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readByte,int,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readBytes,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readUnsignedByte,uint,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readShort,int,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,close,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readUnsignedShort,uint,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readInt,int,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,flush,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readUnsignedInt,uint,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,connect,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readFloat,Number,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readDouble,Number,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readMultiByte,String,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,,,readUTFBytes,String,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,readObject,*,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,,,readUTF,String,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeBytes,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeBoolean,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeByte,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeShort,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeInt,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeUnsignedInt,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeFloat,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeDouble,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeMultiByte,void,flash.Socket,,,,,,0,,10,
flash.net.Socket,,,,,writeUTF,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeUTFBytes,void,flash.Socket,,,,,,1,,10,
flash.net.Socket,,,,,writeObject,void,flash.Socket,,,,,,0,,10,
