类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.net.URLRequest,Object,,,,,,egret.URLRequest,,,,,,1,,10,
flash.net.URLRequest,,,useCache,,,Boolean,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,cacheResponse,,,Boolean,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,idleTimeout,,,Number,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,digest,,,String,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,url,,,String,egret.URLRequest,,,,,,1,,10,
flash.net.URLRequest,,,followRedirects,,,Boolean,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,contentType,,,String,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,userAgent,,,String,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,method,,,String,egret.URLRequest,,,,,,1,,10,
flash.net.URLRequest,,,data,,,Object,egret.URLRequest,,,,,,1,,10,
flash.net.URLRequest,,,manageCookies,,,Boolean,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,authenticate,,,Boolean,egret.URLRequest,,,,,,0,,10,
flash.net.URLRequest,,,requestHeaders,,,Array,egret.URLRequest,,,,,,1,,10,
flash.net.URLRequest,,,,,useRedirectedURL,void,egret.URLRequest,,,,,,0,,10,
