类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.utils.IDataInput,,,,,,,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,bytesAvailable,,,uint,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,objectEncoding,,,uint,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,endian,,,String,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readBytes,void,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readUTF,String,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readBoolean,Boolean,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readUTFBytes,String,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readByte,int,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readUnsignedByte,uint,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readObject,*,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readShort,int,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readUnsignedShort,uint,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readInt,int,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readUnsignedInt,uint,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readFloat,Number,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readDouble,Number,flash.IDataInput,,,,,,1,,,
flash.utils.IDataInput,,,,,readMultiByte,String,flash.IDataInput,,,,,,1,,,
