类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
flash.system.LoaderContext,,,,,,,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,applicationDomain,,,flash.system.ApplicationDomain ,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,checkPolicyFile,,,Boolean,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,securityDomain,,,flash.system.SecurityDomain,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,allowLoadBytesCodeExcution,,,Boolean,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,imageDecodingPolicy,,,String,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,requestedContentParent,,,flash.display.DisplayObjectContainer,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,parameters,,,Object,flash.LoaderContext,,,,,,1,,,
flash.system.LoaderContext,,,allowCodeImport,,,Boolean,flash.LoaderContext,,,,,,1,,,
