类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.system.System,Object,,,,,,flash.System,,,,,,1,,,
flash.system.System,,,ime,1,,flash.system.IME,flash.System,,,,,,0,,,
flash.system.System,,,totalMemory,1,,uint,flash.System,,,,,,0,,,
flash.system.System,,,freeMemory,1,,Number,flash.System,,,,,,0,,,
flash.system.System,,,privateMemory,1,,Number,flash.System,,,,,,0,,,
flash.system.System,,,processCPUUsage,1,,Number,flash.System,,,,,,0,,,
flash.system.System,,,useCodePage,,,Boolean,flash.System,,,,,,0,,,
flash.system.System,,,vmVersion,1,,String,flash.System,,,,,,0,,,
flash.system.System,,,totalMemoryNumber,1,,Number,flash.System,,,,,,0,,,
flash.system.System,,,,,pause,void,flash.System,,,,,,0,,,
flash.system.System,,,,,resume,void,flash.System,,,,,,0,,,
flash.system.System,,,,,setClipboard,void,flash.System,,,,,,0,,,
flash.system.System,,,,,pauseForGCIfCollectionImminent,void,flash.System,,,,,,0,,,
flash.system.System,,,,,exit,void,flash.System,,,,,,0,,,
flash.system.System,,,,,disposeXML,void,flash.System,,,,,,0,,,
flash.system.System,,,,,gc,void,flash.System,,,,,,0,,,
