类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.text.TextField,flash.display.InteractiveObject,,,,,,flash.TextField,,,,,,1,,,
flash.text.TextField,,,thickness,,,Number,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,bottomScrollV,1,,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,embedFonts,,,Boolean,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,gridFitType,,,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,borderColor,,,uint,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,antiAliasType,,,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,length,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,selectionEndIndex,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,selectionBeginIndex,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,maxChars,,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,alwaysShowSelection,,,Boolean,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,selectedText,1,,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,text,,,String,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,caretIndex,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,condenseWhite,,,Boolean,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,type,,,String,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,defaultTextFormat,,,flash.text.TextFormat,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,htmlText,,,String,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,textInteractionMode,1,,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,maxScrollH,1,,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,maxScrollV,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,background,,,Boolean,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,mouseWheelEnabled,,,Boolean,flash.TextField,,,1,,,1,,10,
flash.text.TextField,,,border,,,Boolean,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,restrict,,,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,backgroundColor,,,uint,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,displayAsPassword,,,Boolean,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,scrollH,,,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,textColor,,,uint,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,textHeight,1,,Number,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,sharpness,,,Number,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,scrollV,,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,selectable,,,Boolean,flash.TextField,,,1,,,1,,10,
flash.text.TextField,,,styleSheet,,,flash.text.StyleSheet,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,wordWrap,,,Boolean,flash.TextField,,,1,,,1,,10,
flash.text.TextField,,,numLines,1,,int,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,textWidth,1,,Number,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,useRichTextClipboard,,,Boolean,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,multiline,,,Boolean,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,autoSize,,,String,flash.TextField,,textAlign,,,,1,,10,
flash.text.TextField,,,,,isFontCompatible,Boolean,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getTextRuns,Array,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getRawText,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getXMLText,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,setSelection,void,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,insertXMLText,void,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,setTextFormat,void,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,,,replaceSelectedText,void,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineIndexAtPoint,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getCharIndexAtPoint,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineIndexOfChar,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getTextFormat,flash.text.TextFormat,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,,,appendText,void,flash.TextField,,,,,,1,,10,
flash.text.TextField,,,,,getFirstCharInParagraph,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getImageReference,flash.display.DisplayObject,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineText,String,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineLength,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getParagraphLength,int,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getCharBoundaries,flash.geom.Rectangle,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineMetrics,flash.text.TextLineMetrics,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,replaceText,void,flash.TextField,,,,,,0,,10,
flash.text.TextField,,,,,getLineOffset,int,flash.TextField,,,,,,0,,10,
