类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
ver1.0,,,,,,,,,,,,,,,,
flash.text.TextFormat,Object,,,,,,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,bullet,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,display,,,String,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,align,,,String,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,kerning,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,bold,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,font,,,String,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,letterSpacing,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,italic,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,tabStops,,,Array,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,underline,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,url,,,String,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,leading,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,leftMargin,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,color,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,rightMargin,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,size,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,target,,,String,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,indent,,,Object,flash.TextFormat,,,,,,1,,10,
flash.text.TextFormat,,,blockIndent,,,Object,flash.TextFormat,,,,,,1,,10,
