类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
v1.0,,,,,,,,,,,,,,,,
,,1,,,Array,Array,,,,,flash.AS3Array,,0,,10,
,,1,,,Boolean,Boolean,,,,,flash.Boolean,,1,,10,
,,1,,,decodeURI,String,,,,,decodeURI,,1,,10,
,,1,,,encodeURI,String,,,,,encodeURI,,1,,10,
,,1,,,escape,String,,,,,escape,,1,,10,
,,1,,,Error,Error,,,,,flash.error,,1,,10,
,,1,,,int,int,,,,,flash.tranint,,1,,10,
,,1,,,isNaN,Boolean,,,,,isNaN,,1,,10,
,,1,,,Number,Number,,,,,flash.trannumber,,1,,10,
,,1,,,Object,Object,,,,,flash.AS3Object,,1,,10,
,,1,,,parseFloat,Number,,,,,parseFloat,,1,,10,
,,1,,,parseInt,int,,,,,flash.tranint,,1,,10,
,,1,,,String,String,,,,,flash.String,,1,,10,
,,1,,,trace,void,,,,,console.log,,1,,10,
,,1,,,uint,uint,,,,,flash.tranint,,1,,10,
,,1,,,unescape,String,,,,,unescape,,1,,10,
,,1,,,Vector,Vector.<T>,,,,,,,0,,10,
,,1,,,XML,XML,,,,,flash.XML_,,1,,10,
,,1,,,XMLList,XMLList,,,,,flash.XMLList_,,1,,10,
,,1,,,typeof,String,,,,,typeof,,1,,10,
,,,,,flash.net.navigateToURL,void,,,,,flash.navigateToURL,,1,,10,
